,change in diversity_index,2019 diversity_index,neighborhood,change in poverty_prop,2019 poverty_prop,change in white_prop,2019 white_prop,change in median_household_inc,2019 median_household_inc,change in singleunitbuilding_price,2019 singleunitbuilding_price,change in asian_prop,2019 asian_prop,change in black_prop,2019 black_prop,change in hispanic_prop,2019 hispanic_prop
0,9.09090909090908,0.6,jamaica,-43.61702127659575,0.106,43.74999999999999,0.023,14.387417218543048,69090.0,54.3864283408177,526010,54.34782608695651,0.142,-6.2400000000000055,0.586,-15.887850467289722,0.18
0,0.0,0.74,kew gardens,-22.900763358778626,0.101,-9.677419354838705,0.168,16.623414071510958,80890.0,52.50405864121611,619990,21.052631578947373,0.276,-25.531914893617014,0.07,-4.1362530413625205,0.394
0,-13.725490196078432,0.44,kingsbridge heights,-30.886850152905197,0.226,-13.888888888888884,0.062,31.51680290644868,43440.0,95.46750992063492,630500,30.0,0.065,-38.647342995169076,0.127,10.909090909090901,0.732
0,43.90243902439025,0.59,lefferts gardens,-30.078125000000007,0.179,69.79865771812082,0.253,48.87425658453696,70090.0,83.03722164161105,1366080,16.666666666666682,0.021,-23.936170212765965,0.572,87.69230769230768,0.122
0,8.064516129032265,0.67,little neck,-12.328767123287664,0.064,-17.965367965367967,0.379,13.839859731151375,97390.0,23.701833782405107,945750,7.5916230366492075,0.411,566.6666666666667,0.06,4.687500000000004,0.134
0,-2.1276595744680753,0.46,longwood,-3.64963503649634,0.396,29.999999999999993,0.026,4.150197628458498,26350.0,165.13313291818767,493890,-50.0,0.005,-5.1369863013698485,0.277,2.24550898203593,0.683
0,2.8169014084507067,0.73,lower east side,8.108108108108103,0.24,-10.089020771513361,0.303,-15.481986368062318,43400.0,113.68326758886136,8038850,-5.47550432276656,0.328,18.749999999999993,0.076,10.917030567685588,0.254
0,0.0,0.59,maspeth,-50.877192982456144,0.084,0.580270793036751,0.52,18.335138480581772,76480.0,28.82584420826046,766050,-1.1235955056179785,0.088,100.0,0.022,-4.043126684636123,0.356
0,-2.1276595744680753,0.46,melrose,-3.64963503649634,0.396,29.999999999999993,0.026,4.150197628458498,26350.0,28.729693741677764,483380,-50.0,0.005,-5.1369863013698485,0.277,2.24550898203593,0.683
0,2.9411764705882213,0.7,midwood,-46.42857142857143,0.12,-5.23809523809523,0.398,31.872967285249665,68930.0,24.40203478471055,1132270,17.28395061728395,0.095,-3.7249283667621653,0.336,8.661417322834653,0.138
0,-1.4084507042253533,0.7,morningside heights,-31.70731707317072,0.196,29.8181818181818,0.357,58.85474242759231,71850.0,107.45740831027213,3021140,20.27027027027027,0.089,-24.378109452736325,0.152,-8.866995073891633,0.37
0,-2.857142857142844,0.68,morris park,-30.80568720379147,0.146,-37.59398496240601,0.166,15.548838088040808,61160.0,23.829641225794,577430,8.888888888888898,0.098,18.181818181818183,0.234,11.792452830188676,0.474
0,4.0000000000000036,0.52,morrisania,-7.356321839080454,0.403,-21.951219512195124,0.032,-0.6808169803764518,24800.0,30.260544802442425,439460,-14.285714285714285,0.006,19.5364238410596,0.361,-7.389937106918246,0.589
0,-2.1276595744680753,0.46,mott haven,-3.64963503649634,0.396,29.999999999999993,0.026,4.150197628458498,26350.0,28.729693741677764,483380,-50.0,0.005,-5.1369863013698485,0.277,2.24550898203593,0.683
0,-7.142857142857148,0.52,park slope,-32.743362831858406,0.076,9.003215434083609,0.678,62.08643815201192,163140.0,46.087215425077325,2649540,41.66666666666668,0.085,-1.1627906976744036,0.085,-46.96969696969697,0.105
0,-1.7241379310344844,0.57,parkchester,4.724409448818902,0.266,16.666666666666664,0.028,-3.083053691275168,46210.0,23.509722257710095,483380,-1.408450704225334,0.07,-8.437500000000007,0.293,3.380782918149449,0.581
0,16.071428571428566,0.65,prospect heights,-38.61003861003861,0.159,62.10526315789473,0.308,67.07968382824183,78210.0,272.1672608788043,1576240,-3.030303030303033,0.032,-20.77922077922078,0.488,2.9197080291970625,0.141
0,3.174603174603177,0.65,queens village,-22.535211267605625,0.055,-32.330827067669176,0.09,7.896447140381283,99610.0,32.225736047392104,593720,13.513513513513525,0.168,-4.416961130742035,0.541,37.49999999999999,0.143
0,6.779661016949159,0.63,rego park,14.432989690721648,0.111,-9.94671403197157,0.507,40.02391271857719,93690.0,24.922102786780624,998290,11.940298507462675,0.3,66.66666666666666,0.02,2.142857142857125,0.143
0,0.0,0.59,ridgewood,-50.877192982456144,0.084,0.580270793036751,0.52,18.335138480581772,76480.0,28.82584420826046,766050,-1.1235955056179785,0.088,100.0,0.022,-4.043126684636123,0.356
0,-4.545454545454549,0.63,riverdale,-10.810810810810805,0.165,-17.24137931034483,0.312,5.977276469619628,64360.0,21.720412748382238,904760,-15.384615384615385,0.044,-31.578947368421055,0.091,21.276595744680858,0.513
